#{"t_start": 1741225022.2830396, "env_id": "None"}
r,l,t
-104.691826,3,6.130256
-107.85942,7,6.130276
-107.69011,4,6.145144
-103.10941,7,6.145166
-104.36081,2,6.164333
-103.33373,4,6.179113
-106.42943,3,6.194499
-119.43436,15,6.194519
-104.90555,8,6.194525
-105.46632,3,6.209792
-102.44436,4,6.209811
-104.108154,2,6.224557
-100.30048,10,6.224578
-109.527405,4,6.239313
-100.422005,9,6.254485
-99.22927,5,6.272893
-105.35724,3,6.272912
-108.21217,6,6.286508
-104.82494,5,6.301726
-124.24597,16,6.315881
-102.381584,7,6.315902
-107.57557,4,6.31591
-105.653435,3,6.315914
-107.76557,6,6.332323
-105.81176,8,6.332342
-103.43561,2,6.347603
-104.05178,2,6.347622
-96.39215,15,6.36295
-104.143524,2,6.362971
-104.54179,4,6.382289
-101.20461,4,6.382309
-104.42319,2,6.382315
-104.5164,2,6.397214
-104.32856,2,6.397233
-110.46355,4,6.412938
-105.22545,2,6.412958
-102.782394,9,6.428621
-102.40754,2,6.428643
-101.10828,3,6.444987
-102.55485,2,6.445007
-104.218475,2,6.458941
-95.68794,9,6.477057
-107.09279,13,6.477096
-107.01878,6,6.477103
-102.12735,11,6.477108
-104.0777,2,6.492338
-103.976395,2,6.506344
-107.70777,6,6.506364
-102.87355,10,6.536196
-100.43849,4,6.536216
-104.588524,3,6.551464
-109.742256,8,6.551484
-107.66652,6,6.567228
-105.204765,6,6.567249
-107.90651,9,6.586002
-105.256004,2,6.586036
-102.93672,7,6.601815
-103.92267,2,6.601835
-100.459854,6,6.60184
-101.0511,3,6.616695
-111.71011,6,6.632127
-105.28719,3,6.632147
-103.99105,5,6.632153
-105.75304,7,6.648038
-107.27549,4,6.66246
-104.947334,2,6.66248
-104.37114,5,6.678697
-104.87595,3,6.678716
-103.08016,2,6.678721
-104.60249,2,6.696321
-105.41262,5,6.696341
-106.01593,2,6.711007
-101.53399,3,6.711028
-104.63476,2,6.711034
-100.410416,17,6.711038
-98.51041,9,6.726308
-106.01593,2,6.740278
-100.34814,8,6.756761
-104.475784,3,6.756782
-105.675644,4,6.756787
-101.38647,3,6.770417
-98.96465,6,6.784841
-112.5931,8,6.802197
-103.92056,4,6.818229
-103.11712,4,6.832691
-102.361534,3,6.832711
-99.495544,8,6.832716
-103.49611,6,6.847537
-106.39025,4,6.863424
-104.92284,2,6.878669
-93.1103,18,6.878688
-109.27141,10,6.893122
-105.456696,2,6.912293
-107.28343,5,6.912315
-109.48959,11,6.928407
-101.094246,6,6.928427
-97.288506,8,6.942526
-105.12693,2,6.942546
-110.08435,8,6.956781
-105.68891,17,6.972629
-102.90196,5,6.972648
-104.88162,7,6.987937
-104.29836,2,6.987957
-104.55493,2,7.003246
-104.156136,4,7.003266
-104.39927,3,7.021267
-105.84194,10,7.021286
-107.4203,3,7.036908
-106.82886,3,7.051437
-104.33158,2,7.051458
-105.12693,2,7.051464
-98.74103,10,7.067008
-101.1797,5,7.067029
-104.15357,2,7.08267
-112.68232,6,7.097759
-106.69372,3,7.097778
-102.76717,4,7.097783
-105.04828,3,7.097787
-106.85857,3,7.114842
-105.9672,12,7.114861
-100.53524,12,7.114867
-103.90041,2,7.130055
-106.31957,4,7.159717
-98.18326,5,7.159737
-107.052185,14,7.159743
-107.01144,3,7.159748
-104.07215,4,7.1745
-101.86329,5,7.174518
-109.00353,5,7.189779
-105.12693,2,7.189799
-105.12693,2,7.203412
-102.00877,3,7.203431
-109.85922,3,7.203436
-104.50494,2,7.221683
-105.82066,3,7.221703
-103.31917,2,7.236078
-105.38794,2,7.252187
-104.99194,2,7.266723
-107.21579,11,7.266742
-100.539024,14,7.281436
-104.626785,5,7.281456
-107.99513,11,7.296985
-105.33908,3,7.297003
-103.86327,6,7.297008
-102.691154,5,7.297012
-104.71643,2,7.328445
-106.08797,4,7.328464
-108.41217,4,7.32847
-103.89409,2,7.328474
-105.86945,10,7.344751
-107.14862,4,7.34477
-103.62602,2,7.360835
-106.487144,3,7.376195
-102.8213,14,7.376214
-109.5062,7,7.392875
-106.571266,4,7.392894
-104.08673,2,7.3929
-101.158165,4,7.392905
-104.22267,2,7.424521
-101.15468,5,7.425798
-112.188705,6,7.441659
-105.070564,3,7.441679
-103.57331,10,7.457964
-109.776505,5,7.457983
-104.487,2,7.457988
-104.37996,5,7.457992
